lr,weight_decay,epochs,batch_size,lstm_hidden_sizes,mlp_layer_sizes,dropout_rate,RMSE_mean,MAPE_mean,R2_mean,PCC_mean
0.001,0,100,64,[3],[6],0,0.16354565,0.060455146012827754,34.87190334824039,59.05243716244095
0.001,0,100,64,[3],[6],0.1,0.18129908,0.07000116165727377,11.688204264240385,34.18801583046373
0.001,0,100,64,[3],[6],0.2,0.10748028,0.03922602336388081,71.20840934445692,84.38507530627494
0.001,0,100,64,[6],"[6, 3]",0,0.17732464,0.06599212065339088,16.252660538835887,40.314588598714344
0.001,0,100,64,[6],"[6, 3]",0.1,0.18872933,0.07064740639179945,7.3864511522175045,-27.17802633050735
0.001,0,100,64,[6],"[6, 3]",0.2,0.18436733,0.07087802514433861,39.54153907825569,62.88206348256686
0.001,0,100,64,[6],"[3, 6]",0,0.16313563,0.060533679788932204,45.63865911103726,67.55639060150952
0.001,0,100,64,[6],"[3, 6]",0.1,0.1988072,0.0756215478759259,14.894075771929776,-38.59284360076331
0.001,0,100,64,[6],"[3, 6]",0.2,0.11283013,0.039011851185932755,84.70437020258682,92.03497715683248
0.001,0,100,64,[6],"[3, 3]",0,0.10272425,0.03329608298372477,80.25159447786857,89.58325428218633
0.001,0,100,64,[6],"[3, 3]",0.1,0.32453334,0.12379001127555966,0.0,
0.001,0,100,64,[6],"[3, 3]",0.2,0.2425417,0.0940974394325167,0.0,
0.001,0,100,64,[6],[3],0,0.08586976,0.028998669586144388,79.96649678819068,89.42398827394732
0.001,0,100,64,[6],[3],0.1,0.14382589,0.05419371300376952,64.64888103861556,80.40452788159106
0.001,0,100,64,[6],[3],0.2,0.10414215,0.03732721088454127,73.14148787756098,85.5227968892277
0.001,0,100,64,[6],[6],0,0.14769603,0.05107026663608849,40.387593638458306,63.55123416461581
0.001,0,100,64,[6],[6],0.1,0.119966775,0.04215224180370569,60.87547813806111,78.02273908166843
0.001,0,100,64,[6],[6],0.2,0.16738117,0.0628750363830477,52.25612341713464,72.2883970061134
0.001,0,100,32,"[6, 6, 6]","[6, 3]",0,0.29087937,0.10973162134177983,0.0,
0.001,0,100,32,"[6, 6, 6]","[6, 3]",0.1,0.087878406,0.031035844585858285,83.17131740076007,91.19276290876917
0.001,0,100,32,"[6, 6, 6]","[6, 3]",0.2,0.22022094,0.08619735017418861,0.0,
0.001,0,100,32,"[6, 6, 6]","[3, 6]",0,0.17024988,0.06312584737315774,63.27098956381422,79.35449216839258
0.001,0,100,32,"[6, 6, 6]","[3, 6]",0.1,0.08503997,0.028144078532932326,84.45034371319082,91.86278429777792
0.001,0,100,32,"[6, 6, 6]","[3, 6]",0.2,0.19222884,0.07273046066984534,0.0,
0.001,0,100,32,"[6, 6, 6]","[3, 3]",0,0.086127065,0.030139152659103274,82.44274163945352,90.7944518259469
0.001,0,100,32,"[6, 6, 6]","[3, 3]",0.1,0.19239995,0.07303878082893789,1.0772074199497625,
0.001,0,100,32,"[6, 6, 6]","[3, 3]",0.2,0.28830415,0.10885114315897226,0.0,
0.001,0,100,32,"[6, 6, 6]",[3],0,0.09934136,0.033235720184165984,75.74076243941371,86.99215127617803
0.001,0,100,32,"[6, 6, 6]",[3],0.1,0.11506875,0.03964043571613729,77.31897490958559,87.92951100955867
0.001,0,100,32,"[6, 6, 6]",[3],0.2,0.091636345,0.0327015615766868,83.56317000646874,91.40842084691147
0.001,0,100,32,"[6, 6, 6]",[6],0,0.08204543,0.028513014694908634,82.68855337282639,90.92414625412535
0.001,0,100,32,"[6, 6, 6]",[6],0.1,0.09814851,0.03360778355272487,79.37482342927123,89.08225264571495
0.001,0,100,32,"[6, 6, 6]",[6],0.2,0.10462679,0.03650099679362029,78.27296012364863,88.44114066946342
0.001,0,100,32,"[6, 6, 3]","[6, 3]",0,0.16801766,0.062452873680740595,38.04276546195594,61.03849772698669
0.001,0,100,32,"[6, 6, 3]","[6, 3]",0.1,0.1556758,0.06210423307493329,73.81422859136345,85.89744509612655
0.001,0,100,32,"[6, 6, 3]","[6, 3]",0.2,0.23725729,0.09260856604669243,69.83286952685859,-83.53219156046524
0.001,0,100,32,"[6, 6, 3]","[3, 6]",0,0.07946868,0.02694515060284175,83.30856768839682,91.24943878318989
0.001,0,100,32,"[6, 6, 3]","[3, 6]",0.1,0.12048422,0.044507987331599,77.16008427042419,87.84058388151428
0.001,0,100,32,"[6, 6, 3]","[3, 6]",0.2,0.16828589,0.06744649435859174,67.75713342922046,82.13063118509751
0.001,0,100,32,"[6, 6, 3]","[3, 3]",0,0.361298,0.13767697382718325,9.785539427948217,
0.001,0,100,32,"[6, 6, 3]","[3, 3]",0.1,0.30025268,0.11303143692202866,0.0,
0.001,0,100,32,"[6, 6, 3]","[3, 3]",0.2,0.16983227,0.06357364763971418,78.63458135106588,88.67059810051765
0.001,0,100,32,"[6, 6, 3]",[3],0,0.08344033,0.028328740154393017,83.4939633702426,91.37095793629098
0.001,0,100,32,"[6, 6, 3]",[3],0.1,0.08697788,0.02914756041718647,83.6297379883427,91.43862555105389
0.001,0,100,32,"[6, 6, 3]",[3],0.2,0.4053414,0.15844378503970802,0.0,
0.001,0,100,32,"[6, 6, 3]",[6],0,0.08374753,0.02791968872770667,83.40082038274107,91.32012381854474
0.001,0,100,32,"[6, 6, 3]",[6],0.1,0.13448445,0.05145228642504662,62.89131710255086,79.23130756791375
0.001,0,100,32,"[6, 6, 3]",[6],0.2,0.1275822,0.04532402235781774,66.93629826185298,81.80622101797081
0.001,0,100,32,"[6, 3, 3]","[6, 3]",0,0.19240135,0.07219882390927523,0.0,
0.001,0,100,32,"[6, 3, 3]","[6, 3]",0.1,0.21071303,0.08254541317000985,0.0,
0.001,0,100,32,"[6, 3, 3]","[6, 3]",0.2,0.13562003,0.052546193182934076,77.01264322539322,87.7143717211435
0.001,0,100,32,"[6, 3, 3]","[3, 6]",0,0.08977519,0.03107902011834085,83.10063282046337,91.15252181154258
0.001,0,100,32,"[6, 3, 3]","[3, 6]",0.1,0.13698915,0.0484369506011717,74.24175388670557,86.06923108711234
0.001,0,100,32,"[6, 3, 3]","[3, 6]",0.2,0.118220106,0.04092269955435768,77.5823201481797,87.96561665190778
0.001,0,100,32,"[6, 3, 3]","[3, 3]",0,0.083332434,0.02768989361356944,82.27965804355435,90.69784960620706
0.001,0,100,32,"[6, 3, 3]","[3, 3]",0.1,0.21473274,0.0840871362015605,10.103741148367666,
0.001,0,100,32,"[6, 3, 3]","[3, 3]",0.2,0.18480167,0.07032770372461528,62.95801341866084,79.13872136677958
0.001,0,100,32,"[6, 3, 3]",[3],0,0.11366751,0.03853519738186151,81.63461714137478,90.34254067639887
0.001,0,100,32,"[6, 3, 3]",[3],0.1,0.13102415,0.049698539078235626,68.46567700627395,82.7157545863304
0.001,0,100,32,"[6, 3, 3]",[3],0.2,0.08948596,0.031234306516125798,83.05353191796095,91.12340541206422
0.001,0,100,32,"[6, 3, 3]",[6],0,0.084437564,0.028250945615582168,82.20046120494484,90.65948096605074
0.001,0,100,32,"[6, 3, 3]",[6],0.1,0.14687333,0.053849274991080165,55.81118088583589,74.55273776851018
0.001,0,100,32,"[6, 3, 3]",[6],0.2,0.09346539,0.03314102068543434,80.85511463400812,89.91375724420058
0.001,0,100,32,"[3, 3, 3]","[6, 3]",0,0.52556,0.21643609507009387,0.0,
0.001,0,100,32,"[3, 3, 3]","[6, 3]",0.1,0.12967968,0.049115746514871716,77.89490008533195,88.25491699239072
0.001,0,100,32,"[3, 3, 3]","[6, 3]",0.2,0.113023385,0.043565797386690974,84.83505190150751,92.09447756999423
0.001,0,100,32,"[3, 3, 3]","[3, 6]",0,0.0985958,0.032145636214409024,79.091535154496,88.89961093106675
0.001,0,100,32,"[3, 3, 3]","[3, 6]",0.1,0.1027533,0.0377426651539281,83.74223239393942,91.5103782877905
0.001,0,100,32,"[3, 3, 3]","[3, 6]",0.2,0.17327663,0.06770743639208376,81.62732341238436,90.34441617546233
0.001,0,100,32,"[3, 3, 3]","[3, 3]",0,0.18860419,0.06898574065417051,15.68630964551979,37.93796276651218
0.001,0,100,32,"[3, 3, 3]","[3, 3]",0.1,0.19210404,0.0725423771655187,0.17202880675208776,
0.001,0,100,32,"[3, 3, 3]","[3, 3]",0.2,0.117063716,0.04526921838987619,83.8036139024496,91.5439944266178
0.001,0,100,32,"[3, 3, 3]",[3],0,0.53810334,0.2223948366008699,0.0,
0.001,0,100,32,"[3, 3, 3]",[3],0.1,0.10017383,0.03588398394640535,81.23202266987201,90.12690842507136
0.001,0,100,32,"[3, 3, 3]",[3],0.2,0.12889093,0.04867512470809743,77.97328762679471,88.29999853241036
0.001,0,100,32,"[3, 3, 3]",[6],0,0.19661914,0.07312363013625145,6.792971720043044,24.353954172986118
0.001,0,100,32,"[3, 3, 3]",[6],0.1,0.092530146,0.03151682176394388,80.30153658265614,89.6080050328459
0.001,0,100,32,"[3, 3, 3]",[6],0.2,0.10358943,0.03922982141375542,83.23812829544539,91.21992636621258
0.001,0,100,32,"[6, 3]","[6, 3]",0,0.13482976,0.04652699863072485,66.88955875573986,81.7480960878852
0.001,0,100,32,"[6, 3]","[6, 3]",0.1,0.12602326,0.04971497692167759,74.97739495927968,86.58643977843198
0.001,0,100,32,"[6, 3]","[6, 3]",0.2,0.33407497,0.1261614786926657,0.0,
0.001,0,100,32,"[6, 3]","[3, 6]",0,0.13720457,0.0481503942864947,78.07489963500986,88.3588160770617
0.001,0,100,32,"[6, 3]","[3, 6]",0.1,0.20102961,0.07848093810025603,0.0,
0.001,0,100,32,"[6, 3]","[3, 6]",0.2,0.12996814,0.05044370191171765,78.6904304701155,88.6711440646153
0.001,0,100,32,"[6, 3]","[3, 3]",0,0.20542237,0.08049288007896394,0.0,
0.001,0,100,32,"[6, 3]","[3, 3]",0.1,0.2055949,0.08056505175773054,0.0,
0.001,0,100,32,"[6, 3]","[3, 3]",0.2,0.19574577,0.07556912605650723,0.0,
0.001,0,100,32,"[6, 3]",[3],0,0.10415868,0.03439593710936606,76.11887175305102,87.24345584640352
0.001,0,100,32,"[6, 3]",[3],0.1,0.10492519,0.039191063842736185,75.92978026398805,87.10212632060717
0.001,0,100,32,"[6, 3]",[3],0.2,0.145855,0.053364319319371134,67.11567815072861,81.92002329137057
0.001,0,100,32,"[6, 3]",[6],0,0.19918504,0.07778262661304325,57.06675034129641,75.10135622770858
0.001,0,100,32,"[6, 3]",[6],0.1,0.10897059,0.03821095451712608,74.9407223510348,86.568161150371
0.001,0,100,32,"[6, 3]",[6],0.2,0.10481698,0.03781819250434637,81.273409583487,90.14277866820021
0.001,0,100,32,"[3, 6]","[6, 3]",0,0.51795965,0.21281491499394178,0.0,
0.001,0,100,32,"[3, 6]","[6, 3]",0.1,0.09433933,0.03456675913184881,82.80709698870756,90.99586808336552
0.001,0,100,32,"[3, 6]","[6, 3]",0.2,0.11427499,0.040312291821464896,82.98309418797578,91.09487271747159
0.001,0,100,32,"[3, 6]","[3, 6]",0,0.102720834,0.03426217444939539,78.1723678459811,88.41042401172749
0.001,0,100,32,"[3, 6]","[3, 6]",0.1,0.45164734,0.1807710505090654,10.103741148367668,
0.001,0,100,32,"[3, 6]","[3, 6]",0.2,0.13429938,0.048760212666820735,79.67031617008314,89.24874021694939
0.001,0,100,32,"[3, 6]","[3, 3]",0,0.1922625,0.07243772561196238,1.0901921357699886,
0.001,0,100,32,"[3, 6]","[3, 3]",0.1,0.11112204,0.04061205545440316,80.7615262916176,89.86296045940077
0.001,0,100,32,"[3, 6]","[3, 3]",0.2,0.14375722,0.05747866234742105,80.92740161355809,89.95308463773762
0.001,0,100,32,"[3, 6]",[3],0,0.08280637,0.028391843079589307,82.40172860026978,90.76509005964239
0.001,0,100,32,"[3, 6]",[3],0.1,0.08720267,0.030157876608427614,83.51891594051114,91.38767272375028
0.001,0,100,32,"[3, 6]",[3],0.2,0.18789001,0.07209322648122907,30.367778345810457,54.9785893562739
0.001,0,100,32,"[3, 6]",[6],0,0.08257563,0.028506398666650057,82.80274923026204,90.99440453811205
0.001,0,100,32,"[3, 6]",[6],0.1,0.093452476,0.0330446899170056,81.20068298449178,90.11141957562745
0.001,0,100,32,"[3, 6]",[6],0.2,0.09003136,0.031697057420387864,81.74939253957213,90.40365196253228
0.001,0,100,32,[3],"[6, 3]",0,0.08395756,0.028335352544672787,82.00986932823724,90.54022879655831
0.001,0,100,32,[3],"[6, 3]",0.1,0.20102961,0.07848093810025603,0.0,
0.001,0,100,32,[3],"[6, 3]",0.2,0.1311393,0.04863579815719277,79.62597933587102,89.22683967545542
0.001,0,100,32,[3],"[3, 6]",0,0.08262576,0.027269517886452377,81.90447089079376,90.43833144283496
0.001,0,100,32,[3],"[3, 6]",0.1,0.10993962,0.03890733205480501,78.76366914110412,88.74882500361093
0.001,0,100,32,[3],"[3, 6]",0.2,0.14478531,0.05563264130614698,76.75695474467689,87.49793084232716
0.001,0,100,32,[3],"[3, 3]",0,0.114541784,0.03925695345969871,71.36970706897584,84.45140245885922
0.001,0,100,32,[3],"[3, 3]",0.1,0.12273688,0.046473313705064356,81.37543044332395,90.20558156759759
0.001,0,100,32,[3],"[3, 3]",0.2,0.16723031,0.06221880030352622,73.46016435685475,85.66229992744604
0.001,0,100,32,[3],[3],0,0.14045292,0.051565770991146564,72.96203150382732,85.41271619266519
0.001,0,100,32,[3],[3],0.1,0.094738916,0.03372220817254856,83.62472637740771,91.44138884251987
0.001,0,100,32,[3],[3],0.2,0.126247,0.047927245032042265,78.86260574830973,88.80380352539161
0.001,0,100,32,[3],[6],0,0.22750556,0.08676195866428316,15.946940491977323,-39.22076588796751
0.001,0,100,32,[3],[6],0.1,0.111165956,0.038184484583325684,75.59060202816661,86.94110046150553
0.001,0,100,32,[3],[6],0.2,0.08663438,0.0294949219096452,82.55438053063233,90.84542615071067
0.001,0,100,32,[6],"[6, 3]",0,0.09885591,0.03157735336571932,76.63538338358504,87.43787347863146
0.001,0,100,32,[6],"[6, 3]",0.1,0.12436253,0.04925016837660223,79.5496003721554,89.18233081058008
0.001,0,100,32,[6],"[6, 3]",0.2,0.19436567,0.07489944400731474,0.0,
0.001,0,100,32,[6],"[3, 6]",0,0.079671495,0.02715061418712139,83.28527717408765,91.22495647162872
0.001,0,100,32,[6],"[3, 6]",0.1,0.11960732,0.04283527669031173,80.78511555832247,89.88011367977239
0.001,0,100,32,[6],"[3, 6]",0.2,0.123848096,0.046466874482575804,80.55713354712002,89.75351174775011
0.001,0,100,32,[6],"[3, 3]",0,0.15880978,0.057556855608709157,53.546041227219035,73.14996054784349
0.001,0,100,32,[6],"[3, 3]",0.1,0.14351374,0.054137513507157564,74.09968200538052,86.05807159725052
0.001,0,100,32,[6],"[3, 3]",0.2,0.13749449,0.052673358004540205,74.17822139687297,85.94891447373647
0.001,0,100,32,[6],[3],0,0.16211113,0.059236446395516396,65.80422041632355,81.05712630953133
0.001,0,100,32,[6],[3],0.1,0.11048874,0.03974797728005797,79.5470674195044,89.16612530891999
0.001,0,100,32,[6],[3],0.2,0.10859516,0.04033635923406109,80.05695544330177,89.46771934262583
0.001,0,100,32,[6],[6],0,0.12972438,0.04621991538442671,69.2054171666847,83.16686941393544
0.001,0,100,32,[6],[6],0.1,0.13681167,0.05066044395789504,71.75478734957855,84.6817257445268
0.001,0,100,32,[6],[6],0.2,0.09492992,0.03567302483133972,80.43224536195274,89.66118860244785
0.001,0,100,16,"[6, 6, 6]","[6, 3]",0,0.17235109,0.06692036549793556,0.0,
0.001,0,100,16,"[6, 6, 6]","[6, 3]",0.1,0.071298555,0.02411435798421735,61.73189240834813,
0.001,0,100,16,"[6, 6, 6]","[6, 3]",0.2,0.087614104,0.03076097054872662,62.36171661009514,
0.001,0,100,16,"[6, 6, 6]","[3, 6]",0,0.06446022,0.022656493456452154,62.8070684054183,
